ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
53,Stimulating the Right Temporoparietal Junction with tDCS Decreases Deception in,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fpsyg.2017.02033/full,NeuroCiencia,"TangH,YeP,WangS,ZhuR,SuS,TongL,Liu","Stimulating the Right Temporoparietal Junction with tDCS Decreases Deception in Moral Hypocrisy and Unfairness. Frontiers in Psychology, 8.",2017
54,A critical role of temporoparietal junction in the integration of,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.22919,NeuroCiencia,"WuQ,ChangC.-F,XiS,HuangI.-W,LiuZ,JuanC.-H,Fan","A critical role of temporoparietal junction in the integration of top-down and bottom-up attentional control. Human Brain Mapping, 36(11), 4317–4333.",2015
55,Visuospatial reorienting signals in the human temporo-parietal junction are independent,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-9568.2005.04573.x,NeuroCiencia,"AstafievS.V,ShulmanG.L,Corbetta","Visuospatial reorienting signals in the human temporo-parietal junction are independent of response selection. European Journal of Neuroscience, 23(2), 591–596.",2006
56,Hyperconnectivity of the Right Posterior Temporo-parietal Junction Predicts Social Difficulties,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.1457,NeuroCiencia,"ChienH.-Y,LinH.-Y,LaiM.-C,GauS.S.-F,TsengW.-Y.","Hyperconnectivity of the Right Posterior Temporo-parietal Junction Predicts Social Difficulties in Boys with Autism Spectrum Disorder. Autism Research, 8(4), 427–441.",2015
57,Social discounting involves modulation of neural value signals by temporoparietal,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.1414715112,NeuroCiencia,"StrombachT,WeberB,HangebraukZ,KenningP,KaripidisI.I,ToblerP.N,Kalenscher","Social discounting involves modulation of neural value signals by temporoparietal junction. Proceedings of the National Academy of Sciences, 112(5), 1619–1624.",2015
58,The right temporoparietal junction encodes efforts of others during action,https://sci-hub.se/https://www.nature.com/articles/srep30274,NeuroCiencia,"MizuguchiN,NakataH,Kanosue","The right temporoparietal junction encodes efforts of others during action observation. Scientific Reports, 6(1).",2016
59,Modulation of Neural Activity in the Temporoparietal Junction with Transcranial,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnhum.2015.00659/full,NeuroCiencia,"YeH,ChenS,HuangD,ZhengH,JiaY,Luo","Modulation of Neural Activity in the Temporoparietal Junction with Transcranial Direct Current Stimulation Changes the Role of Beliefs in Moral Judgment. Frontiers in Human Neuroscience, 9.",2015
60,Transcranial Current Stimulation of the Temporoparietal Junction Improves Lie Detection.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960982215009562,NeuroCiencia,"SowdenS,WrightG.R.T,BanissyM.J,CatmurC,Bird","Transcranial Current Stimulation of the Temporoparietal Junction Improves Lie Detection. Current Biology, 25(18), 2447–2451.",2015
61,Imbalance in subregional connectivity of the right temporoparietal junction in,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23217,NeuroCiencia,"PoepplT.B,MüllerV.I,HoffstaedterF,BzdokD,LairdA.R,FoxP.T,EickhoffS.","Imbalance in subregional connectivity of the right temporoparietal junction in major depression. Human Brain Mapping, 37(8), 2931–2942.",2016
62,Collaborative roles of Temporoparietal Junction and Dorsolateral Prefrontal Cortex in,https://sci-hub.se/https://link.springer.com/content/pdf/10.1038/s41598-017-06662-6.pdf,NeuroCiencia,"TeiS,FujinoJ,KawadaR,JankowskiK.F,KauppiJ.-P,vandenBosW,Takahashi","Collaborative roles of Temporoparietal Junction and Dorsolateral Prefrontal Cortex in Different Types of Behavioural Flexibility. Scientific Reports, 7(1).",2017
