ID_AU,Autores
903,HawkingS.
904,HawkingS.W
905,HayM
906,HayterC.
907,HaywardS.A
908,HazariwalaV
909,HeY
910,Heath
911,HedenstiernaG
912,HeffnerJ.
913,HeideckerJ
914,HeimerJ
915,HeimovaaraT.J
916,HeiskanenE
917,HeissK.F
918,Heldin
919,HellmanU
920,HelmkeR.J
921,HelmsB.
922,HendersonA.F
923,HenselN.
924,HerholzK
925,HermanK.S
926,HernandezR.M
927,Hernández-AlvarezM.-I
928,HeroldD
929,HerringD.N
930,HerrmannS
931,Hespel
932,HetzS.
933,HeydrichL
934,Hijikata
935,Himmelbach
936,HinrichsJ.E
937,Hirai
938,HirotaA.S
939,HirschbergS
940,HirschlR.B
941,HiscottJ
942,Ho
943,Hobman
944,HodaieM
945,HoffmannF
946,HoffstaedterF
947,HofmannL.J
948,HoickaC.E
949,HollyJ.M.P
950,HolmdahlL
951,HolthoffV
952,Homburg
953,Honda
954,HongH
955,HongK
956,Hoppmann
957,HorakD.A
958,HornS
959,HorovitzS.
960,HorowitzG.T
961,HoshinoE
962,HosseiniS.M
963,HosseinpourA.H
964,HoyK.
965,HoyK.E
966,HristovK
967,HsuH.-H
968,HsuJ.-R
969,HsuS.-C
970,HsuS.D.H
971,HsuT.-Y
972,HsuY.-Y
973,Hu
974,HuK
975,HuS.-Y
976,HuX
977,HuY
978,HuaG.B
979,Huang
980,HuangD
981,HuangI.-W
982,HuangJ
983,HuangR.
984,HuangT.-W
985,HubbellJ.
986,HuberleE
987,HudacC.M
988,Huenteler
989,HugginsJ.T
990,HughesC
991,HughesS.C
992,Huisingh
993,HumphreysG.
994,Hung
995,HungC
996,HungD
997,HungD.L
998,HuntingtonJ.T
999,HurJ
1000,HustinxR
1001,HuttonK.C
1002,Hwang
1003,HyattC.J
1004,HyroššováP
1005,IchidaM
1006,Igartua
1007,IgelstromK.M
1008,IgelströmK.M
1009,IjiriY
1010,IkedaA
1011,Ikram
1012,ImD
1013,ImG.-I
1014,InabaK
1015,IngeholmJ.E
1016,InocencioM
1017,InoueM
1018,Ionta
1019,IrwinJ.
1020,IshikawaF
1021,IshimotoK
1022,Islam
1023,IsmihanM
1024,Israel
1025,ItahashiT
1026,IvarssonM.-L
1027,IvryR.B
1028,IyerV
1029,IzunoT
1030,J.F
1031,JONESR.M
1032,JablonskiC
1033,Jackler
1034,JacksonP.
1035,Jacobson
1036,JacobsonT
1037,JacquotL
1038,JaffeA.B
1039,JainV
1040,JakharS
1041,Jakob
1042,JakobsO
1043,JalalB
1044,JalavaJ
1045,JamiesonG.G
1046,JankowskiK.F
1047,JanssensJ.-P
1048,Januel
1049,JayakumarN.D
1050,Jeanne
1051,JeffersonG.H
1052,JeonI
1053,JeongJ.Y
1054,Jha
1055,JiJ.-Y
1056,JiaY
1057,JiaZ
1058,JiangY
1059,JiangY.
1060,Jimenez
1061,JiménezLópezM.F
1062,Jin
1063,JinY
1064,JingJ
1065,Jinyue
1066,JohnsonE
1067,JohnsonM.C
1068,Jolles
1069,Jouneau
1070,Juan
1071,JuanC.-H
1072,JungN.-H
1073,JungR.E
1074,JurasinskiC.V
1075,JurewiczK
1076,JustM.
1077,JyothiR.K
1078,JyothiR.K.
1079,K
1080,KAYD.L
1081,KaamA.H
1082,Kabat
1083,KabatD
1084,KaganovichM
1085,KahntT
1086,KaiglerD
1087,KalamA
1088,KalbeE
1089,Kalenscher
1090,KallioM
1091,KameiK
1092,KammenD.
1093,Kamshad
1094,KanaR.K
1095,KandoiS
1096,Kang
1097,KangG
1098,Kangasharju
1099,Kano-Sueoka
1100,Kanosue
1101,Kanwisher
1102,KaoR.T
1103,KaplanA
1104,KarakurtS
1105,KarimA.
1106,KaripidisI.I
1107,Karnath
1108,KarnathH.-O
1109,KarumanchiS.A
1110,KatzN.M
1111,KaulR.K
1112,KauppiJ.-P
1113,KawadaR
1114,KawahigashiY
1115,KawaiC
1116,KawamukaiK
1117,KawaseT
1118,KaygusuzK
1119,KazzazF
1120,KeelerC
1121,Keleş
1122,KellerC.
1123,KellerT.A
1124,KellyA.C
1125,KendrickJ.
1126,KenmokuM
1127,KenningP
1128,KeoghM.
1129,KerlanR.K
1130,KernD.A
1131,KerrC.
1132,KeshenS.G.N
1133,Keshet
1134,Kessler
1135,KesslerK
1136,KeulersE.H.H
1137,KhachatryanH
1138,KhalifehM.S
1139,KhanS.A.R
1140,KheirabadiB.S
1141,KihlmanS
1142,Kilpatrick
1143,Kim
1144,KimB
1145,KimD.Y
1146,KimH
1147,KimH.I
1148,KimH.J
1149,KimJ
1150,KimJ.-S
1151,KimJ.Y
1152,KimS
1153,KimY.
1154,Kimura
1155,King
1156,KingC.W
1157,KirchhoffB
1158,KirkovskiM
1159,Kirkpatrick
1160,KirkpatrickC.
1161,KirpgtinD.
1162,KirschD
1163,Kitano
1164,KivelaA
1165,KivinenM
1166,KizilkanO
1167,KlainS.C
1168,KlarJ
1169,Kleber
1170,KleinB.
1171,KleinJ.S
1172,KleinerM
1173,KlemešJ.J
1174,KljajichR.V
1175,KlopfensteinT
1176,KlosterS
1177,KnebelJ.-F
1178,KnegteringH
1179,Knight
1180,KnudsenL
1181,Knuth
1182,KoL.-W
1183,KobayashiE
1184,KocherlakotaN.
1185,KoehneS
1186,KogaJ
1187,KohS
1188,Kohli
1189,KoizumiK
1190,KolekarS
1191,Kolios
1192,KoljonenT
1193,KomatsuN
1194,KongX
1195,KoniskyD.
1196,Konrad
1197,KoromS
1198,KosiorR
1199,Koster-HaleJ
