Titulos,URL,HUBsci,Categoria
[HTML] The right temporoparietal junction enables delay of gratification by allowing decision makers to focus on future events,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000800,https://sci-hub.se/https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000800,NeuroCiencia
Noninvasive stimulation of the temporoparietal junction: a systematic review,https://www.sciencedirect.com/science/article/pii/S0149763415001529,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0149763415001529,NeuroCiencia
Where did you “left” Piazza del Popolo? At your “right” temporo-parietal junction,https://www.sciencedirect.com/science/article/pii/S0010945215003032,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0010945215003032,NeuroCiencia
Temporo-parietal junction stimulation in the treatment of depersonalization disorder,https://www.sciencedirect.com/science/article/pii/S0165178110005305,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0165178110005305,NeuroCiencia
A double-blind HD-tDCS/EEG study examining right temporoparietal junction involvement in facial emotion processing,https://www.tandfonline.com/doi/abs/10.1080/17470919.2019.1572648,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2019.1572648,NeuroCiencia
Transcranial direct current stimulation (tDCS) over right temporoparietal junction (rTPJ) for social cognition and social skills in adults with autism spectrum disorder …,https://link.springer.com/article/10.1007/s00702-018-1938-5,https://sci-hub.se/https://link.springer.com/article/10.1007/s00702-018-1938-5,NeuroCiencia
Effects of timing and movement uncertainty implicate the temporo-parietal junction in the prediction of forthcoming motor actions,https://www.sciencedirect.com/science/article/pii/S1053811909004315,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811909004315,NeuroCiencia
[HTML] Stimulating the right temporoparietal junction with tDCS decreases deception in moral hypocrisy and unfairness,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.02033/full,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fpsyg.2017.02033/full,NeuroCiencia
A critical role of temporoparietal junction in the integration of top‐down and bottom‐up attentional control,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.22919,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.22919,NeuroCiencia
Visuospatial reorienting signals in the human temporo‐parietal junction are independent of response selection,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-9568.2005.04573.x,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-9568.2005.04573.x,NeuroCiencia
Prism adaptation reverses the local processing bias in patients with right temporo-parietal junction lesions,https://academic.oup.com/brain/article-abstract/132/6/1669/326213,https://sci-hub.se/https://academic.oup.com/brain/article-abstract/132/6/1669/326213,NeuroCiencia
Hyperconnectivity of the right posterior temporo‐parietal junction predicts social difficulties in boys with autism spectrum disorder,https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.1457,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.1457,NeuroCiencia
Social discounting involves modulation of neural value signals by temporoparietal junction,https://www.pnas.org/doi/abs/10.1073/pnas.1414715112,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.1414715112,NeuroCiencia
[HTML] Hemispheric asymmetry in white matter connectivity of the temporoparietal junction with the insula and prefrontal cortex,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0035589,https://sci-hub.se/https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0035589,NeuroCiencia
[HTML] The right temporoparietal junction encodes efforts of others during action observation,https://www.nature.com/articles/srep30274,https://sci-hub.se/https://www.nature.com/articles/srep30274,NeuroCiencia
[HTML] Modulation of neural activity in the temporoparietal junction with transcranial direct current stimulation changes the role of beliefs in moral judgment,https://www.frontiersin.org/articles/10.3389/fnhum.2015.00659/full,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnhum.2015.00659/full,NeuroCiencia
[HTML] Transcranial current stimulation of the temporoparietal junction improves lie detection,https://www.sciencedirect.com/science/article/pii/S0960982215009562,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960982215009562,NeuroCiencia
Imbalance in subregional connectivity of the right temporoparietal junction in major depression,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23217,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23217,NeuroCiencia
Deconstructing the brain's moral network: dissociable functionality between the temporoparietal junction and ventro-medial prefrontal cortex,https://academic.oup.com/scan/article-abstract/9/3/297/1663350,https://sci-hub.se/https://academic.oup.com/scan/article-abstract/9/3/297/1663350,NeuroCiencia
[HTML] Breakdown of intention-based outcome evaluation after transient right temporoparietal junction deactivation,https://www.nature.com/articles/s41598-023-28293-w,https://sci-hub.se/https://www.nature.com/articles/s41598-023-28293-w,NeuroCiencia
[PDF] Collaborative roles of temporoparietal junction and dorsolateral prefrontal cortex in different types of behavioural flexibility,https://link.springer.com/content/pdf/10.1038/s41598-017-06662-6.pdf,https://sci-hub.se/https://link.springer.com/content/pdf/10.1038/s41598-017-06662-6.pdf,NeuroCiencia
Linking visual attention and number processing in the brain: The role of the temporo-parietal junction in small and large symbolic and nonsymbolic number …,https://direct.mit.edu/jocn/article-abstract/19/11/1845/4371,https://sci-hub.se/https://direct.mit.edu/jocn/article-abstract/19/11/1845/4371,NeuroCiencia
"Mental state attribution and the temporoparietal junction: an fMRI study comparing belief, emotion, and perception",https://www.sciencedirect.com/science/article/pii/S0028393210001776,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393210001776,NeuroCiencia
[HTML] Multisession anodal tDCS on the right Temporo-Parietal Junction improves mentalizing processes in adults with autistic traits,https://www.mdpi.com/2076-3425/12/1/30,https://sci-hub.se/https://www.mdpi.com/2076-3425/12/1/30,NeuroCiencia
[HTML] Distinct role of the right temporoparietal junction in advantageous and disadvantageous inequity: A tDCS study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9892459/,https://sci-hub.se/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9892459/,NeuroCiencia
Combined TMS-fMRI reveals behavior-dependent network effects of right temporoparietal junction neurostimulation in an attentional belief updating task,https://academic.oup.com/cercor/article-abstract/32/21/4698/6516233,https://sci-hub.se/https://academic.oup.com/cercor/article-abstract/32/21/4698/6516233,NeuroCiencia
High-definition tDCS to the right temporoparietal junction modulates slow-wave resting state power and coherence in healthy adults,https://journals.physiology.org/doi/abs/10.1152/jn.00338.2019,https://sci-hub.se/https://journals.physiology.org/doi/abs/10.1152/jn.00338.2019,NeuroCiencia
[HTML] Transcranial direct current stimulation to the right temporoparietal junction for social functioning in autism spectrum disorder: a case report,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6495599/,https://sci-hub.se/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6495599/,NeuroCiencia
[HTML] Vasopressin modulates social recognition-related activity in the left temporoparietal junction in humans,https://www.nature.com/articles/tp20112,https://sci-hub.se/https://www.nature.com/articles/tp20112,NeuroCiencia
Differential role of temporoparietal junction and medial prefrontal cortex in causal inference in autism: An independent component analysis,https://www.sciencedirect.com/science/article/pii/S030439401400250X,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S030439401400250X,NeuroCiencia
Pragmatic abilities in multiple sclerosis: The contribution of the temporo-parietal junction,https://www.sciencedirect.com/science/article/pii/S0093934X1830049X,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0093934X1830049X,NeuroCiencia
Repetitive transcranial magnetic stimulation over the temporoparietal junction influences distinction of self from famous but not unfamiliar others.,https://psycnet.apa.org/record/2012-27909-001,https://sci-hub.se/https://psycnet.apa.org/record/2012-27909-001,NeuroCiencia
Modulation of excitability in the temporoparietal junction relieves virtual reality sickness,https://www.liebertpub.com/doi/abs/10.1089/cyber.2017.0499,https://sci-hub.se/https://www.liebertpub.com/doi/abs/10.1089/cyber.2017.0499,NeuroCiencia
"Functional lateralization of temporoparietal junction–imitation inhibition, visual perspective‐taking and theory of mind",https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.13036,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.13036,NeuroCiencia
Impaired spontaneous belief inference following acquired damage to the left posterior temporoparietal junction,https://academic.oup.com/scan/article-abstract/11/10/1513/2413930,https://sci-hub.se/https://academic.oup.com/scan/article-abstract/11/10/1513/2413930,NeuroCiencia
Neural basis of embodiment: distinct contributions of temporoparietal junction and extrastriate body area,https://www.jneurosci.org/content/26/31/8074.short,https://sci-hub.se/https://www.jneurosci.org/content/26/31/8074.short,NeuroCiencia
"[HTML] Damage to the right temporoparietal junction, but not lateral prefrontal or insular cortex, amplifies the role of goal-directed attention",https://www.nature.com/articles/s41598-018-36537-3,https://sci-hub.se/https://www.nature.com/articles/s41598-018-36537-3,NeuroCiencia
Linking out-of-body experience and self processing to mental own-body imagery at the temporoparietal junction,https://www.jneurosci.org/content/25/3/550.short,https://sci-hub.se/https://www.jneurosci.org/content/25/3/550.short,NeuroCiencia
[HTML] The right temporoparietal junction during a cooperation dilemma: An rTMS study,https://www.sciencedirect.com/science/article/pii/S2666956021000313,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2666956021000313,NeuroCiencia
The role of the temporoparietal junction in implicit and explicit sense of agency,https://www.sciencedirect.com/science/article/pii/S0028393218301131,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393218301131,NeuroCiencia
[PDF] Focal stimulation of the temporoparietal junction improves rationality in prosocial decision-making,https://link.springer.com/content/pdf/10.1038/s41598-020-76956-9.pdf,https://sci-hub.se/https://link.springer.com/content/pdf/10.1038/s41598-020-76956-9.pdf,NeuroCiencia
[HTML] Cathodal transcranial direct current stimulation over the right temporoparietal junction suppresses its functional connectivity and reduces contralateral spatial …,https://www.frontiersin.org/articles/10.3389/fnins.2021.629331/full,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnins.2021.629331/full,NeuroCiencia
"Attentional processes, not implicit mentalizing, mediate performance in a perspective-taking task: Evidence from stimulation of the temporoparietal junction",https://www.sciencedirect.com/science/article/pii/S1053811917303750,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811917303750,NeuroCiencia
Insular Cortex Mediates Attentional Capture by Behaviorally Relevant Stimuli after Damage to the Right Temporoparietal Junction,https://academic.oup.com/cercor/article-abstract/31/9/4245/6210038,https://sci-hub.se/https://academic.oup.com/cercor/article-abstract/31/9/4245/6210038,NeuroCiencia
Task-dependent and distinct roles of the temporoparietal junction and inferior frontal cortex in the control of imitation,https://academic.oup.com/scan/article-abstract/10/7/1003/1739493,https://sci-hub.se/https://academic.oup.com/scan/article-abstract/10/7/1003/1739493,NeuroCiencia
[HTML] Enhancing activation in the right temporoparietal junction using theta-burst stimulation: Disambiguating between two hypotheses of top-down control of …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211279,https://sci-hub.se/https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211279,NeuroCiencia
Repetitive TMS of the temporo-parietal junction disrupts participant's expectations in a spontaneous Theory of Mind task,https://academic.oup.com/scan/article-abstract/12/11/1775/4158171,https://sci-hub.se/https://academic.oup.com/scan/article-abstract/12/11/1775/4158171,NeuroCiencia
Inter-subject correlation of temporoparietal junction activity is associated with conflict patterns during flexible decision-making,https://www.sciencedirect.com/science/article/pii/S016801021830244X,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S016801021830244X,NeuroCiencia
[HTML] Enhancing Activity in the Right Temporoparietal Junction Modifies the Effect of a High CEO-to-Employee Pay Ratio on the Perceived Investment Potential in …,https://www.frontiersin.org/articles/10.3389/fnins.2022.872979/full,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnins.2022.872979/full,NeuroCiencia
[HTML] Cortical thinning in temporo-parietal junction (TPJ) in non-affective first-episode of psychosis patients with persistent negative symptoms,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0101372,https://sci-hub.se/https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0101372,NeuroCiencia
Effects of transcranial magnetic stimulation on body perception: No evidence for specificity of the right temporo-parietal junction,https://link.springer.com/article/10.1007/s10548-016-0496-0,https://sci-hub.se/https://link.springer.com/article/10.1007/s10548-016-0496-0,NeuroCiencia
Electric stimulation of the right temporo-parietal junction induces a task-specific effect in deceptive behaviors,https://www.sciencedirect.com/science/article/pii/S0168010217303504,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0168010217303504,NeuroCiencia
